"f"	"REUG_right"	"REOG_65_right"	"REAG_55_right"	"REAG_65_right"	"REAG_80_right"	"REUG_left"	"REOG_65_left"	"REAG_55_left"	"REAG_65_left"	"REAG_80_left"
"98"	4171	56.0481227928852	51.2100974289507	64.3090205429326	72.8194368997907	86.637216979894	53.3973382681079	47.830862191726	64.1860207621239	71.3307060324206	84.6968271970565
"99"	4214	54.7203383028499	50.8080166995302	64.9148044898882	73.9387068202678	86.799971023609	52.4712474926857	48.5144982614999	64.8233770484184	72.4401976266117	85.3930039006339
"100"	4257	53.8844616326371	50.3420056232452	64.3384908056269	73.4036601131221	86.3397057642972	50.4592792768528	47.7962447789946	64.4557121984755	72.7282488567438	85.757202671374
"101"	4300	53.8706761474897	51.543792996175	62.2211715849707	71.6234875732377	83.612438297375	49.4445686476442	48.3871552733573	62.335755279543	71.1080329913674	83.692098573726
"102"	4343	53.4177347926442	51.3475500292552	61.3361346953516	71.0367540078222	81.9418071706741	49.3675644459779	49.4183892616112	60.2414629249792	69.5314063169086	82.0638338436588
"103"	4386	52.5471239673174	50.7167964462603	60.8092256815836	70.8167948709777	82.4240992352191	48.7435133275431	49.8813379544716	59.5085310370087	68.8135993712185	81.8178313306892
"104"	4429	52.4895967221732	51.2373612914693	59.9536327030584	70.5874122865272	82.9636915010551	48.7534625518918	48.8525297599253	59.7888362446917	69.1657304068568	82.7522372344221
"105"	4472	52.4828969365257	51.6177478081392	59.2771035508875	70.5877034315128	81.8373451401944	49.9015240196758	47.5433607613187	59.0228104037842	69.083642035053	82.4786476617484
"106"	4515	52.7897958128889	50.5616761747273	59.0366912045706	70.830536399006	80.9707636918507	49.2278445784681	46.7906989561602	58.5344004531107	69.8096889092285	81.1786424378221
"107"	4558	51.8296713781991	49.4973713283472	57.9261703701752	69.9426141900212	79.9830972815336	48.3146238876908	46.3985469776929	57.988079623808	69.5721632172476	79.8268146770662
"108"	4601	50.1399909513579	49.5516994367049	57.2392264500597	68.3868479048598	78.4902476975141	48.1186936987958	47.6317809125297	56.5786259851881	67.797282491105	78.0787067821148
"109"	4644	50.0678284390578	50.7333603581842	58.7556752585721	69.6801061354728	79.2944864849127	48.1520138020443	49.7953208712962	56.2617318584481	66.9644692243856	77.8669485474516
